block_id,route_id,direction_id,trip_headsign,shape_id,service_id,trip_id
b_432-002_3616,88,0,WEST WAIPAHU - Leoku Street,4320017,3616_smuwtfa,5605841.4323.871293
b_40-001_3616,26,0,MAKAHA TOWERS,400223,3616_smuwtfa,5606366.4092.871709
b_6-001_3563,6,1,WOODLAWN DRIVE via East-West Road,60123,3563_muwtf,5587854.609.861149
b_4-005_3572,4,0,NUUANU - Dowsett Avenue via UH Manoa,40095,3572_a,5592633.407.863592
a_1-009_3534,1,0,KALIHI TRANSIT CENTER,10214,3534_smuwtfa,5596368.107.852834
b_2-034_3572,2,0,SCHOOL STREET - Middle Street,20120,3572_a,5592964.207.863858
a_40-003_3548,26,0,MAKAHA TOWERS,400285,3548_muwtf_UWon,5600607.4092.855560
b_7-002_3616,7,1,KALIHI UKA,70053,3616_smuwtfa,5596696.702.866237
b_8-011_3563,8,0,ALA MOANA CENTER,80021,3563_muwtf,5587379.801.860872
a_52-002_3495,129,1,HONOLULU - Ala Moana Center,520089,3495_muwtf,5600252.5204.855318
b_70-001_3616,41,1,LANIKAI,700005,3616_smuwtfa,5595786.7001.865488
a_98A-013_3534,76,0,EXPRESS - Mililani-Wahiawa-Kunia,98A0003,3534_smuwtfa,5596036.98A3.852534
b_55-005_3563,130,1,HONOLULU - Ala Moana Center,550066,3563_muwtf,5600300.5502.868480
a_7-002_3497,7,1,KALIHI TRANSIT CENTER,70051,3497_a,5591724.701.849837
b_17-001_3616,16,0,MAKIKI,170001,3616_smuwtfa,5595608.1702.865343
b_54-003_3572,33,1,ALAPAI TRANSIT CENTER via Red Hill,540048,3572_a,5591303.5404.862642
b_40-002_3580,26,0,MAKAHA TOWERS,400285,3580_muwtf_UWon,5600618.4092.868685
a_403-002_3534,81,0,WAIANAE VALLEY,4010005,3534_smuwtfa,5606442.4013.858746
b_A-011_3563,22,0,CityExpress! WAIPAHU,A0060,3563_muwtf,5599035.2505.867491
a_4-004_3500,4,0,NUUANU - Dowsett Avenue via UH Manoa,40095,3500_s,5594822.407.851852
b_40-006_3578,26,1,HONOLULU - Ala Moana Center,400235,3578_a_UWoff,5624140.4005.872866
b_434-001_3563,90,0,VILLAGE PARK,4340022,3563_muwtf,5599371.4341.867758
b_17-001_3585,16,1,ALA MOANA CENTER,170008,3585_s,5593473.1701.863935
a_18-001_3497,17,1,AINA HAINA via UH - Kapahulu - KCC,180014,3497_a,5592155.1809.850097
a_74-002_3495,45,1,HALAWA HEIGHTS,740011,3495_muwtf,5598362.7402.853916
b_433-001_3585,90,1,WAIPAHU TRANSIT CENTER,4340041,3585_s,5604004.4343.870192
